UPC,Original Description,Expanded Description
045125621310,"PTS BED COZY HAMMOCK FERRET","Pet BED COZY HAMMOCK FERRET"
660204030458,"SWTR UNTUCKED PLD SM","Sweater UNTUCKED PLD Small"
660204030465,"SWTR UNTUCKED PLD MD","Sweater UNTUCKED PLD Medium"
660204030496,"SWTR STRP GY XS","Sweater Strip Grey Extra Small"
660204030519,"SWTR STRP GY MD","Sweater Strip Grey Medium"
077234548271,"TOY SKINZ STRETCHEEZ 22IN","Toy SKINZ STRETCHEEZ 22IN"
077234548547,"TOY STHRS TABBIE LMB 12IN","Toy STHRS TABBIE LMB 12IN"
047431504363,"PART B/W ASSM 200B/350B","PART B/W Assembly 200B/350B"
660204030236,"SWTR TXTRD CABLE GR XS","Sweater TXTRD CABLE GR Extra Small"
660204030250,"SWTR TXTRD CABLE GR MD","Sweater TXTRD CABLE GR Medium"
660204030274,"SWTR TXTRD CABLE GR XL","Sweater TXTRD CABLE GR Extra Large"
729849105423,"RAD BATTERY 6V LITH","RAD BATTERY 6V LITH"
657546113024,"USA TTHING PUP RING PMPK3C","USA TTHING Puppy RING PMPK3C"
657546113055,"USA TTHING PUP RING CHKN3C","USA TTHING Puppy RING CHKN3C"
077234547724,"TOY BAMBNE TRPL BISON 4IN","Toy BAMBNE TRPL BISON 4IN"
077234520765,"TOY SHMMR GLMR TRTL CATNIP","Toy SHMMR GLMR TRTL CATNIP"
077234520857,"TOY BERTHA MOUSE CTNP 7IN","Toy BERTHA MOUSE CTNP 7IN"
660204010559,"COAT RAINY DAY YL MD","COAT RAINY DAY YL Medium"
660204031240,"SWTR TWSTD CABLE PK SM","Sweater TWSTD CABLE Pink Small"
660204031448,"SWTR BNE ACCENT OR SM","Sweater Bone ACCENT OR Small"
660204031455,"SWTR BNE ACCENT OR MD","Sweater Bone ACCENT OR Medium"
660204031462,"SWTR BNE ACCENT OR LG","Sweater Bone ACCENT OR Large"
660204031479,"SWTR BNE ACCENT OR XL","Sweater Bone ACCENT OR Extra Large"
077234302019,"BOOT ALL WTHR RD XXXS","BOOT ALL WTHR Red XXXS"
077234302026,"BOOT ALL WRTH RD XXS","BOOT ALL WRTH Red XXS"
015905000697,"HEATER FLAT 5W UP TO 2G","HEATER FLAT 5W UP TO 2G"
